Column1,Category,Medicine name,Therapeutic area,International non-proprietary name (INN) / common name,Active substance,Product number,Patient safety,Authorisation status,ATC code,Additional monitoring,Generic,Conditional approval,Exceptional circumstances,Accelerated assessment,Orphan medicine,Marketing authorisation date,Date of refusal of marketing authorisation,Marketing authorisation holder/company name,Human pharmacotherapeutic group,Date of opinion,Decision date,Revision number,Condition / indication,First published,Revision date,URL,InChI_Keys,PDF_URL
969,Human,Azacitidine betapharm,"Myelodysplastic Syndromes;  Leukemia, Myelomonocytic, Chronic;  Leukemia, Myeloid, Acute",azacitidine,['AZACITIDINE'],EMEA/H/C/005075,no,Authorised,L01BC07,no,yes,no,no,no,no,24/03/2020,,betapharm Arzneimittel GmbH,Antineoplastic agents,30/01/2020,10/02/2023,5,"Azacitidine betapharm is indicated for the treatment of adult patients who are not eligible for haematopoietic stem cell transplantation (HSCT) with:intermediate-2 and high-risk myelodysplastic syndromes (MDS) according to the International Prognostic Scoring System (IPSS),chronic myelomonocytic leukaemia (CMML) with 10 % to 29 % marrow blasts without myeloproliferative disorder,acute myeloid leukaemia (AML) with 20 % to 30 % blasts and multi-lineage dysplasia, according to World Health Organization (WHO) classification,AML with > 30 % marrow blasts according to the WHO classification.",20/11/2020,13/02/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/azacitidine-betapharm,['NMUSYJAQQFHJEW-KVTDHHQDSA-N'],https://www.ema.europa.eu/en/documents/product-information/azacitidine-betapharm-epar-product-information_en.pdf
970,Human,Tracleer,"Scleroderma, Systemic;  Hypertension, Pulmonary",bosentan,['BOSENTAN (AS MONOHYDRATE)'],EMEA/H/C/000401,no,Authorised,C02KX01,no,no,no,no,no,no,14/05/2002,,Janssen-Cilag International N.V.  ,"Antihypertensives, ",21/02/2002,09/02/2023,42,"Treatment of pulmonary arterial hypertension (PAH) to improve exercise capacity and symptoms in patients with WHO functional class III.Efficacy has been shown in:, , , 	Primary (idiopathic and familial) PAH;, 	PAH secondary to scleroderma without significant interstitial pulmonary disease;, 	PAH associated with congenital systemic-to-pulmonary shunts and Eisenmenger's physiology., , , Some improvements have also been shown in patients with PAH WHO functional class II., , Tracleer is also indicated to reduce the number of new digital ulcers in patients with systemic sclerosis and ongoing digital ulcer disease., ",20/11/2017,13/02/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/tracleer,['not found'],https://www.ema.europa.eu/en/documents/product-information/tracleer-epar-product-information_en.pdf
971,Human,Stayveer,"Hypertension, Pulmonary;  Scleroderma, Systemic",bosentan monohydrate,['BOSENTAN (AS MONOHYDRATE)'],EMEA/H/C/002644,no,Authorised,C02KX01,no,no,no,no,no,no,24/06/2013,,Janssen-Cilag International NV,Other antihypertensives,21/03/2013,09/02/2023,15,Treatment of pulmonary arterial hypertension (PAH) to improve exercise capacity and symptoms in patients with World Health Organization (WHO) functional class III. Efficacy has been shown in:primary (idiopathic and familial) PAH;PAH secondary to scleroderma without significant interstitial pulmonary disease;PAH associated with congenital systemic-to-pulmonary shunts and Eisenmenger’s physiology.Some improvements have also been shown in patients with PAH WHO functional class II.Stayveer is also indicated to reduce the number of new digital ulcers in patients with systemic sclerosis and ongoing digital-ulcer disease.,26/09/2017,13/02/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/stayveer,['not found'],https://www.ema.europa.eu/en/documents/product-information/stayveer-epar-product-information_en.pdf
972,Human,Hemangiol,Hemangioma,propranolol,['PROPRANOLOL HYDROCHLORIDE'],EMEA/H/C/002621,no,Authorised,C07AA05,no,no,no,no,no,no,23/04/2014,,Pierre Fabre Medicament,Beta blocking agents,20/02/2014,10/01/2023,6,"Hemangiol is indicated in the treatment of proliferating infantile haemangioma requiring systemic therapy:, , , 	Life- or function-threatening haemangioma,, 	Ulcerated haemangioma with pain and/or lack of response to simple wound care measures,, 	Haemangioma with a risk of permanent scars or disfigurement., , , It is to be initiated in infants aged 5 weeks to 5 months., ",14/03/2018,09/02/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/hemangiol,['ZMRUPTIKESYGQW-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/hemangiol-epar-product-information_en.pdf
973,Human,Pregabalin Zentiva,Anxiety Disorders;  Epilepsy,pregabalin,['PREGABALIN'],EMEA/H/C/003900,no,Authorised,N03AX16,no,yes,no,no,no,no,17/07/2015,,"Zentiva, k.s.","Antiepileptics, ",21/05/2015,07/02/2023,15,"Neuropathic pain, , , 	Pregabalin Zentiva is indicated for the treatment of peripheral and central neuropathic pain in adults., , , Epilepsy, , , 	Pregabalin Zentiva is indicated as adjunctive therapy in adults with partial seizures with or without secondary generalisation., , , Generalised anxiety disorder, , , 	Pregabalin Zentiva is indicated for the treatment of generalised anxiety disorder (GAD) in adults., , ",18/05/2018,09/02/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/pregabalin-zentiva,['AYXYPKUFHZROOJ-ZETCQYMHSA-N'],https://www.ema.europa.eu/en/documents/product-information/pregabalin-zentiva-epar-product-information_en.pdf
976,Human,Darunavir Krka d.d.,HIV Infections,darunavir,['DARUNAVIR'],EMEA/H/C/004891,no,Withdrawn,J05AE10,no,yes,no,no,no,no,18/01/2018,,"KRKA, d.d., Novo mesto",Antivirals for systemic use,,22/01/2023,8,"400mg and 800 mg Film-coated TabletsDarunavir Krka d.d., co-administered with low dose ritonavir is indicated in combination with other antiretroviral medicinal products for the treatment of patients with human immunodeficiency virus (HIV-1) infection.Darunavir Krka d.d., co-administered with cobicistat is indicated in combination with other antiretroviral medicinal products for the treatment of patients with human immunodeficiency virus (HIV-1) infection in adult patients (see section 4.2).Darunavir Krka d.d. 400 mg and 800 mg tablets may be used to provide suitable dose regimens for the treatment of HIV-1 infection in adult and paediatric patients from the age of 3 years and at least 40 kg body weight who are:antiretroviral therapy (ART)-naïve (see section 4.2).ART-experienced with no darunavir resistance associated mutations (DRV-RAMs) and who have plasma HIV-1 RNA < 100,000 copies/ml and CD4+ cell count ? 100 cells x 106/l. In deciding to initiate treatment with darunavir in such ART-experienced patients, genotypic testing should guide the use of darunavir (see sections 4.2, 4.3, 4.4 and 5.1).600mg Film-coated TabletsDarunavir Krka d.d., co-administered with low dose ritonavir is indicated in combination with other antiretroviral medicinal products for the treatment of patients with human immunodeficiency virus (HIV-1) infection.Darunavir Krka d.d. 600 mg tablets may be used to provide suitable dose regimens (see section 4.2):For the treatment of HIV-1 infection in antiretroviral treatment (ART)-experienced adult patients, including those that have been highly pre-treated.For the treatment of HIV-1 infection in paediatric patients from the age of 3 years and at least 15 kg body weight.In deciding to initiate treatment with darunavir co-administered with low dose ritonavir, careful consideration should be given to the treatment history of the individual patient and the patterns of mutations associated with different agents. Genotypic or phenotypic testing (when available) and treatment history should guide the use of darunavir.",13/06/2018,03/02/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/darunavir-krka-dd,['CJBJHOAVZSMMDJ-HEXNFIEUSA-N'],https://www.ema.europa.eu/en/documents/product-information/darunavir-krka-dd-epar-product-information_en.pdf
977,Human,Truvada,HIV Infections,"emtricitabine, tenofovir disoproxil","['EMTRICITABINE', 'TENOFOVIR DISOPROXIL FUMARATE']",EMEA/H/C/000594,no,Authorised,J05AR03,no,no,no,no,no,no,20/02/2005,,Gilead Sciences Ireland UC,Antivirals for systemic use,18/11/2004,12/01/2023,46,"Treatment of HIV-1 infection:, , , 	Truvada is indicated in antiretroviral combination therapy for the treatment of HIV-1 infected adults., 	Truvada is also indicated for the treatment of HIV-1 infected adolescents, with NRTI resistance or toxicities precluding the use of first line agents, aged 12 to < 18 years., , , Pre-exposure prophylaxis (PrEP):, , , 	Truvada is indicated in combination with safer sex practices for pre-exposure prophylaxis to reduce the risk of sexually acquired HIV-1 infection in adults at high risk., , ",19/07/2017,02/02/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/truvada,"['XQSPYNMVSIKCOC-NTSWFWBYSA-N', 'VCMJCVGFSROFHV-WZGZYPNHSA-N']",https://www.ema.europa.eu/en/documents/product-information/truvada-epar-product-information_en.pdf
978,Human,Stribild,HIV Infections,"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil","['ELVITEGRAVIR', 'COBICISTAT', 'EMTRICITABINE', 'TENOFOVIR DISOPROXIL FUMARATE']",EMEA/H/C/002574,no,Authorised,J05AR09,no,no,no,no,no,no,24/05/2013,,Gilead Sciences Ireland UC,"Antivirals for treatment of HIV infections, combinations, Antivirals for systemic use",,12/01/2023,25,Treatment of human immunodeficiency virus 1 (HIV 1) infection in adults aged 18 years and over who are antiretroviral treatment-naïve or are infected with HIV 1 without known mutations associated with resistance to any of the three antiretroviral agents in Stribild.,19/07/2018,02/02/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/stribild,"['JUZYLCPPVHEVSV-LJQANCHMSA-N', 'ZCIGNRJZKPOIKD-CQXVEOKZSA-N', 'XQSPYNMVSIKCOC-NTSWFWBYSA-N', 'VCMJCVGFSROFHV-WZGZYPNHSA-N']",https://www.ema.europa.eu/en/documents/product-information/stribild-epar-product-information_en.pdf
979,Human,Juluca,HIV Infections,"dolutegravir, rilpivirine","['DOLUTEGRAVIR SODIUM', 'RILPIVIRINE HYDROCHLORIDE']",EMEA/H/C/004427,no,Authorised,J05AR,no,no,no,no,no,no,16/05/2018,,ViiV Healthcare B.V.,Antivirals for systemic use,22/03/2018,12/01/2023,14,Juluca is indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in adults who are virologically-suppressed (HIV-1 RNA ,16/05/2018,02/02/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/juluca,"['UGWJRRXTMKRYNK-VSLILLSYSA-M', 'KZVVGZKAVZUACK-BJILWQEISA-N']",https://www.ema.europa.eu/en/documents/product-information/juluca-epar-product-information_en.pdf
980,Human,Helicobacter Test INFAI,Breath Tests;  Helicobacter Infections,13C-urea,['UREA (13C)'],EMEA/H/C/000140,no,Authorised,V04CX,no,no,no,no,no,no,14/08/1997,,"INFAI, Institut für biomedizinische Analytik  NMR-Imaging GmbH",Diagnostic agents,16/04/1997,30/01/2023,20,"Helicobacter Test INFAI may be used for in vivo diagnosis of gastroduodenal Helicobacter pylori infection in:adults;adolescents, who are likely to have peptic ulcer disease.Helicobacter Test INFAI for children aged three to 11 years may be used for in vivo diagnosis of gastrduodenal Helicobacter pylori infection:for the evaluation of the success of eradication treatment, or;when invasive tests cannot be performed, or;when there are discordant results arising from invasive tests.This medicinal product is for diagnostic use only.",07/03/2018,02/02/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/helicobacter-test-infai,['not found'],https://www.ema.europa.eu/en/documents/product-information/helicobacter-test-infai-epar-product-information_en.pdf
982,Human,Optruma,"Osteoporosis, Postmenopausal",raloxifene,['RALOXIFENE HYDROCHLORIDE'],EMEA/H/C/000185,no,Authorised,G03XC01,no,no,no,no,no,no,05/08/1998,,Eli Lilly Nederland B.V.,"Sex hormones and modulators of the genital system, ",,23/01/2023,26,"Optruma is indicated for the treatment and prevention of osteoporosis in post-menopausal women. A significant reduction in the incidence of vertebral, but not hip fractures has been demonstrated. When determining the choice of Optruma or other therapies, including oestrogens, for an individual postmenopausal woman, consideration should be given to menopausal symptoms, effects on uterine and breast tissues, and cardiovascular risks and benefits (see section 5.1).",03/08/2017,30/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/optruma,['BKXVVCILCIUCLG-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/optruma-epar-product-information_en.pdf
984,Human,Tabrecta,"Carcinoma, Non-Small-Cell Lung",capmatinib,['CAPMATINIB DIHYDROCHLORIDE MONOHYDRATE'],EMEA/H/C/004845,no,Authorised,L01EX17,yes,no,no,no,no,no,20/06/2022,,Novartis Europharm Limited ,Antineoplastic agents,22/04/2022,01/12/2022,1,"Tabrecta as monotherapy is indicated for the treatment of adult patients with advanced non small cell lung cancer (NSCLC) harbouring alterations leading to mesenchymal epithelial transition factor gene exon 14 (METex14) skipping, who require systemic therapy following prior treatment with immunotherapy and/or platinum based chemotherapy.",13/04/2022,25/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/tabrecta,['COWBUPJEEDYWKD-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/tabrecta-epar-product-information_en.pdf
985,Human,Dexmedetomidine Accord,Premedication,dexmedetomidine,['DEXMEDETOMIDINE'],EMEA/H/C/005152,no,Authorised,N05CM18,no,yes,no,no,no,no,13/02/2020,,Accord Healthcare S.L.U.,Psycholeptics,12/12/2019,24/01/2023,6,"For sedation of adult ICU (Intensive Care Unit) patients requiring a sedation level not deeper than arousal in response to verbal stimulation (corresponding to Richmond Agitation-Sedation Scale (RASS) 0 to -3).For sedation of non-intubated adult patients prior to and/or during diagnostic or surgical procedures requiring sedation, i.e. procedural/awake sedation.",19/02/2020,25/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/dexmedetomidine-accord,['CUHVIMMYOGQXCV-NSHDSACASA-N'],https://www.ema.europa.eu/en/documents/product-information/dexmedetomidine-accord-epar-product-information_en.pdf
988,Human,Sitagliptin / Metformin hydrochloride Sun,"Diabetes Mellitus, Type 2","sitagliptin, metformin hydrochloride","['SITAGLIPTIN FUMARATE', 'METFORMIN HYDROCHLORIDE']",EMEA/H/C/005778,no,Authorised,A10BD07,no,yes,no,no,no,no,31/03/2023,,Sun Pharmaceutical Industries Europe B.V.,Drugs used in diabetes,26/01/2023,31/03/2023,,"For adult patients with type 2 diabetes mellitus:Sitagliptin/Metformin hydrochloride SUN is indicated as an adjunct to diet and exercise to improve glycaemic control in patients inadequately controlled on their maximal tolerated dose of metformin alone or those already being treated with the combination of sitagliptin and metformin.Sitagliptin/Metformin hydrochloride SUN is indicated in combination with a sulphonylurea (i.e., triple combination therapy) as an adjunct to diet and exercise in patients inadequately controlled on their maximal tolerated dose of metformin and a sulphonylurea.Sitagliptin/Metformin hydrochloride SUN is indicated as triple combination therapy with a peroxisome proliferator-activated receptor gamma (PPAR?) agonist (i.e., a thiazolidinedione) as an adjunct to diet and exercise in patients inadequately controlled on their maximal tolerated dose of metformin and a PPAR? agonist.Sitagliptin/Metformin hydrochloride SUN is also indicated as add-on to insulin (i.e., triple combination therapy) as an adjunct to diet and exercise to improve glycaemic control in patients when stable dose of insulin and metformin alone do not provide adequate glycaemic control.",24/01/2023,,https://www.ema.europa.eu/en/medicines/human/EPAR/sitagliptin-metformin-hydrochloride-sun,"['YRKLLQIZVVYDQY-OIJPFUDISA-L', 'OETHQSJEHLVLGH-UHFFFAOYSA-N']",https://www.ema.europa.eu/en/documents/product-information/sitagliptin-metformin-hydrochloride-sun-epar-product-information_en.pdf
989,Human,Envarsus,Graft Rejection,tacrolimus,['TACROLIMUS'],EMEA/H/C/002655,no,Authorised,L04AD02,no,no,no,no,no,no,18/07/2014,,Chiesi Farmaceutici S.p.A.,Immunosuppressants,22/05/2014,18/01/2023,12,Prophylaxis of transplant rejection in adult kidney or liver allograft recipients. Treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult patients.,05/05/2017,23/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/envarsus,['QJJXYPPXXYFBGM-LFZNUXCKSA-N'],https://www.ema.europa.eu/en/documents/product-information/envarsus-epar-product-information_en.pdf
991,Human,Pemetrexed Baxter,"Carcinoma, Non-Small-Cell Lung;  Mesothelioma",pemetrexed,['PEMETREXED DISODIUM HEPTAHYDRATE'],EMEA/H/C/005848,no,Authorised,L01BA04,no,yes,no,no,no,no,09/12/2022,,Baxter Holding B.V.,Antineoplastic agents,13/10/2022,,,Malignant pleural mesotheliomaPemetrexed Baxter in combination with cisplatin is indicated for the treatment of chemotherapy naïve patients with unresectable malignant pleural mesothelioma.Non-small cell lung cancerPemetrexed Baxter in combination with cisplatin is indicated for the first line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology (see section 5.1).Pemetrexed Baxter is indicated as monotherapy for the maintenance treatment of locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology in patients whose disease has not progressed immediately following platinum-based chemotherapy (see section 5.1).Pemetrexed Baxter is indicated as monotherapy for the second line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology (see section 5.1).,12/10/2022,19/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/pemetrexed-baxter,['QJVSMHJWAOSBMD-MYXYZBIASA-L'],https://www.ema.europa.eu/en/documents/product-information/pemetrexed-baxter-epar-product-information_en.pdf
993,Human,Lysodren,Adrenal Cortex Neoplasms,mitotane,['MITOTANE'],EMEA/H/C/000521,no,Authorised,L01XX23,no,no,no,no,no,no,28/04/2004,,HRA Pharma Rare Diseases,Antineoplastic agents,,01/12/2022,18,"Symptomatic treatment of advanced (unresectable, metastatic or relapsed) adrenal cortical carcinoma. The effect of Lysodren on non-functional adrenal cortical carcinoma is not established.",25/04/2016,18/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/lysodren,['JWBOIMRXGHLCPP-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/lysodren-epar-product-information_en.pdf
995,Human,Kengrexal,Acute Coronary Syndrome;  Vascular Surgical Procedures,cangrelor,['CANGRELOR'],EMEA/H/C/003773,no,Authorised,B01,yes,no,no,no,no,no,23/03/2015,,Chiesi Farmaceutici S.p.A.,Antithrombotic agents,22/01/2015,16/01/2023,15,"Kengrexal, co-administered with acetylsalicylic acid (ASA), is indicated for the reduction of thrombotic cardiovascular events in adult patients with coronary artery disease undergoing percutaneous coronary intervention (PCI) who have not received an oral P2Y12 inhibitor prior to the PCI procedure and in whom oral therapy with P2Y12 inhibitors is not feasible or desirable.",12/04/2018,16/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/kengrexal,['PAEBIVWUMLRPSK-IDTAVKCVSA-N'],https://www.ema.europa.eu/en/documents/product-information/kengrexal-epar-product-information_en.pdf
996,Human,Atriance,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,nelarabine,['NELARABINE'],EMEA/H/C/000752,no,Authorised,L01BB07,yes,no,no,yes,no,no,22/08/2007,,Sandoz Pharmaceuticals d.d.,Antineoplastic agents,,16/01/2023,26,"Nelarabine is indicated for the treatment of patients with T-cell acute lymphoblastic leukaemia (T-ALL) and T-cell lymphoblastic lymphoma (T-LBL) whose disease has not responded to or has relapsed following treatment with at least two chemotherapy regimens., , Due to the small patient populations in these disease settings, the information to support these indications is based on limited data., ",30/04/2018,16/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/atriance,['IXOXBSCIXZEQEQ-UHTZMRCNSA-N'],https://www.ema.europa.eu/en/documents/product-information/atriance-epar-product-information_en.pdf
997,Human,Aclasta,"Osteoporosis;  Osteitis Deformans;  Osteoporosis, Postmenopausal",zoledronic acid,['ZOLEDRONIC ACID'],EMEA/H/C/000595,no,Authorised,M05BA08,no,no,no,no,no,no,15/04/2005,,Sandoz Pharmaceuticals d.d.,Drugs for treatment of bone diseases,,16/01/2023,31,"Treatment of osteoporosis:, , , 	in post-menopausal women;, 	in men;, , , at increased risk of fracture, including those with a recent low-trauma hip fracture., , Treatment of osteoporosis associated with long-term systemic glucocorticoid therapy in post-menopausal women and in men at increased risk of fracture., , Treatment of Paget's disease of the bone., ",23/03/2017,16/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/aclasta,['XRASPMIURGNCCH-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/aclasta-epar-product-information_en.pdf
998,Human,Levodopa/Carbidopa/Entacapone Orion,Parkinson Disease,"levodopa, carbidopa, entacapone","['LEVODOPA', 'CARBIDOPA', 'ENTACAPONE']",EMEA/H/C/002441,no,Authorised,N04BA03,no,no,no,no,no,no,23/08/2011,,Orion Corporation,Nervous system,,12/01/2023,13,Levodopa/Carbidopa/Entacapone Orion is indicated for the treatment of adult patients with Parkinson's disease and end-of-dose motor fluctuations not stabilised on levodopa / dopa-decarboxylase (DDC)-inhibitor treatment.,08/02/2018,16/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/levodopa-carbidopa-entacapone-orion,"['WTDRDQBEARUVNC-LURJTMIESA-N', nan, 'JRURYQJSLYLRLN-BJMVGYQFSA-N']",https://www.ema.europa.eu/en/documents/product-information/levodopacarbidopaentacapone-orion-epar-product-information_en.pdf
1000,Human,Teriflunomide Mylan,"Multiple Sclerosis, Relapsing-Remitting",teriflunomide,['TERIFLUNOMIDE'],EMEA/H/C/005962,no,Authorised,L04AA31,no,yes,no,no,no,no,09/11/2022,,Mylan Pharmaceuticals Limited,Immunosuppressants,15/09/2022,10/01/2023,1,Teriflunomide Mylan is indicated for the treatment of adult patients and paediatric patients aged 10 years and older (body weight > 40 kg) with relapsing remitting multiple sclerosis (MS) (please refer to section 5.1 of the SmPC for important information on the population for which efficacy has been established). ,14/09/2022,16/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/teriflunomide-mylan,['UTNUDOFZCWSZMS-YFHOEESVSA-N'],https://www.ema.europa.eu/en/documents/product-information/teriflunomide-mylan-epar-product-information_en.pdf
1002,Human,Corbilta (previously Levodopa/Carbidopa/Entacapone Sandoz),Parkinson Disease,"levodopa, carbidopa, entacapone","['LEVODOPA', 'CARBIDOPA', 'ENTACAPONE']",EMEA/H/C/002785,no,Authorised,N04BA03,no,no,no,no,no,no,11/11/2013,,Orion Corporation,Anti-Parkinson drugs,19/09/2013,12/01/2023,10,Corbilta is indicated for the treatment of adult patients with Parkinson’s disease and end-of-dose motor fluctuations not stabilised on levodopa/dopa decarboxylase (DDC) inhibitor treatment.,06/07/2018,16/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/corbilta,"['WTDRDQBEARUVNC-LURJTMIESA-N', nan, 'JRURYQJSLYLRLN-BJMVGYQFSA-N']",https://www.ema.europa.eu/en/documents/product-information/corbilta-previously-levodopacarbidopaentacapone-sandoz-epar-product-information_en.pdf
1003,Human,Pregabalin Mylan,Anxiety Disorders;  Epilepsy,pregabalin,['PREGABALIN'],EMEA/H/C/004078,no,Authorised,N03AX16,no,yes,no,no,no,no,24/06/2015,,Mylan Pharmaceuticals Limited,"Antiepileptics, ",22/04/2015,13/01/2023,16,Neuropathic painPregabalin Mylan is indicated for the treatment of peripheral and central neuropathic pain in adults.EpilepsyPregabalin Mylan is indicated as adjunctive therapy in adults with partial seizures with or without secondary generalisation.Generalised Anxiety DisorderPregabalin Mylan is indicated for the treatment of Generalised Anxiety Disorder (GAD) in adults.,04/06/2018,13/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/pregabalin-mylan,['AYXYPKUFHZROOJ-ZETCQYMHSA-N'],https://www.ema.europa.eu/en/documents/product-information/pregabalin-mylan-epar-product-information_en.pdf
1004,Human,Vocabria,HIV Infections,cabotegravir,"['CABOTEGAVIR SODIUM', 'CABOTEGRAVIR']",EMEA/H/C/004976,no,Authorised,J05AX,yes,no,no,no,no,no,17/12/2020,,ViiV Healthcare B.V.,Antivirals for systemic use,15/10/2020,10/01/2023,8,Vocabria tablets are indicated in combination with rilpivirine tablets for the short-term treatment of Human Immunodeficiency Virus type 1 (HIV-1) infection in adults who are virologically suppressed (HIV-1 RNA ,05/01/2021,12/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/vocabria,"['not found', 'WCWSTNLSLKSJPK-LKFCYVNXSA-N']",https://www.ema.europa.eu/en/documents/product-information/vocabria-epar-product-information_en.pdf
1006,Human,Duaklir Genuair,"Pulmonary Disease, Chronic Obstructive","aclidinium bromide, formoterol","['ACLIDINIUM BROMIDE', 'FORMOTEROL FUMARATE DIHYDRATE']",EMEA/H/C/003745,no,Authorised,R03AL,yes,no,no,no,no,no,19/11/2014,,Covis Pharma Europe B.V.,"Drugs for obstructive airway diseases, ",25/09/2014,09/01/2023,15,Duaklir Genuair is indicated as a maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,18/05/2018,11/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/duaklir-genuair,"['XLAKJQPTOJHYDR-QTQXQZBYSA-M', 'RATSWNOMCHFQGJ-AYJOUMQSSA-N']",https://www.ema.europa.eu/en/documents/product-information/duaklir-genuair-epar-product-information_en.pdf
1007,Human,Eklira Genuair,"Pulmonary Disease, Chronic Obstructive",aclidinium bromide,['ACLIDINIUM BROMIDE'],EMEA/H/C/002211,no,Authorised,R03BB,yes,no,no,no,no,no,20/07/2012,,Covis Pharma Europe B.V.,"Drugs for obstructive airway diseases, ",,09/01/2023,20,Eklira Genuair is indicated as a maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,18/05/2018,11/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/eklira-genuair,['XLAKJQPTOJHYDR-QTQXQZBYSA-M'],https://www.ema.europa.eu/en/documents/product-information/eklira-genuair-epar-product-information_en.pdf
1009,Human,Toviaz,"Urinary Bladder, Overactive",fesoterodine,['FESOTERODINE FUMARATE'],EMEA/H/C/000723,no,Authorised,G04BD11,no,no,no,no,no,no,20/04/2007,,Pfizer Europe MA EEIG,Urologicals,,10/01/2023,27,Treatment of the symptoms (increased urinary frequency and / or urgency and / or urgency incontinence) that may occur in patients with overactive-bladder syndrome.,30/07/2018,11/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/toviaz,['MWHXMIASLKXGBU-RNCYCKTQSA-N'],https://www.ema.europa.eu/en/documents/product-information/toviaz-epar-product-information_en.pdf
1010,Human,Protopic,"Dermatitis, Atopic",tacrolimus,['TACROLIMUS'],EMEA/H/C/000374,no,Authorised,D11AH01,no,no,no,no,no,no,27/02/2002,,LEO Pharma A/S,Other dermatological preparations,,23/11/2022,26,"Flare treatmentAdults and adolescents (16 years of age and above)Treatment of moderate to severe atopic dermatitis in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids.Children (two years of age and above)Treatment of moderate to severe atopic dermatitis in children (two years of age and above) who failed to respond adequately to conventional therapies such as topical corticosteroids.Maintenance treatmentMaintenance treatment of moderate to severe atopic dermatitis for the prevention of flares and the prolongation of flare-free intervals in patients experiencing a high frequency of disease exacerbations (i.e. occurring four or more times per year) who have had an initial response to a maximum of six weeks treatment of twice daily tacrolimus ointment (lesions cleared, almost cleared or mildly affected).",30/06/2018,11/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/protopic,['QJJXYPPXXYFBGM-LFZNUXCKSA-N'],https://www.ema.europa.eu/en/documents/product-information/protopic-epar-product-information_en.pdf
1011,Human,Tacforius,Liver Transplantation;  Kidney Transplantation,tacrolimus,['TACROLIMUS MONOHYDRATE'],EMEA/H/C/004435,no,Authorised,L04AD02,no,yes,no,no,no,no,08/12/2017,,Teva B.V.,Immunosuppressants,12/10/2017,10/01/2023,7,Prophylaxis of transplant rejection in adult kidney or liver allograft recipients.Treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult patients.,08/12/2017,10/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/tacforius,['NWJQLQGQZSIBAF-MLAUYUEBSA-N'],https://www.ema.europa.eu/en/documents/product-information/tacforius-epar-product-information_en.pdf
