d,Cleaned Excipients,Indices,Excipients_Controlled
624,"['TABLET CORE:', 'LACTOSE MONOHYDRATE', 'POVIDONE', 'CROSPOVIDONE TYPE A', 'PREGELATINIZED STARCH (MAIZE)', 'TALC', 'SILICA', 'COLLOIDAL ANHYDROUS', 'LACTOSE ANHYDROUS', 'MAGNESIUM STEARATE', 'TABLET COATING:', 'TITANIUM DIOXIDE (E171)', 'POLYDEXTROSE', 'HYPROMELLOSE (E464)', 'TRIETHYL CITRATE (E1505)', 'MACROGOL 8000']","[2446, 2442, 598, 1937, 1456, 941, 987, 1828, 1943, 834, 77, 20, 1582, 795, 655, 853]","[nan, 'LACTOSE MONOHYDRATE', 'POVIDONE', 'CROSPOVIDONE', 'PREGELATINISED STARCH', 'TALC', 'SILICON DIOXIDE, ANHYDROUS', 'SILICON DIOXIDE, ANHYDROUS', 'LACTOSE', 'MAGNESIUM STEARATE', nan, 'TITANIUM DIOXIDE', 'POLYDEXTROSE', 'HYPROMELLOSE', 'TRIETHYL CITRATE', 'POLYETHYLENE GLYCOL']"
353,"['TABLET CORE:', 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE (E572)', 'MICROCRYSTALLINE CELLULOSE (E460)', 'PREGELATINISED STARCH (GLUTEN FREE)', 'FILM-COATING:', 'GLYCEROL TRIACETATE (E1518)', 'HYPROMELLOSE (E464)', 'INDIGO CARMINE ALUMINIUM LAKE (E132)', 'LACTOSE MONOHYDRATE', 'TITANIUM DIOXIDE (E171)']","[2446, 399, 2442, 205, 967, 1884, 2557, 658, 795, 1786, 2442, 20]","[nan, 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'MICROCRYSTALLINE CELLULOSE', 'PREGELATINISED STARCH', nan, 'GLYCEROL TRIACETATE', 'HYPROMELLOSE', 'INDIGO CARMINE', 'LACTOSE MONOHYDRATE', 'TITANIUM DIOXIDE']"
567,"['FILM-COATED TABLET CORE', 'LACTOSE MONOHYDRATE', 'CROSCARMELLOSE SODIUM', 'HYDROXYPROPYLCELLULOSE', 'MICROCRYSTALLINE CELLULOSE', 'SODIUM LAURILSULFATE', 'MAGNESIUM STEARATE', 'FILM-COAT', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'TRIACETIN', 'TITANIUM DIOXIDE (E171)', 'IRON OXIDE YELLOW (E172)', 'IRON OXIDE RED (E172)', 'TALC']","[2378, 2442, 399, 1474, 154, 2505, 834, 2726, 2442, 1308, 159, 20, 1125, 2584, 941]","[nan, 'LACTOSE MONOHYDRATE', 'CROSCARMELLOSE SODIUM', 'HYDROXYPROPYLCELLULOSE', 'MICROCRYSTALLINE CELLULOSE', 'SODIUM LAURIL SULFATE', 'MAGNESIUM STEARATE', nan, 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'GLYCEROL TRIACETATE', 'TITANIUM DIOXIDE', 'IRON OXIDE', 'IRON OXIDE', 'TALC']"
876,"['TABLET CORE', 'CALCIUM HYDROGEN PHOSPHATE', 'MICROCRYSTALLINE CELLULOSE', 'POVIDONE K30', 'SODIUM STARCH GLYCOLATE', 'LACTOSE MONOHYDRATE', 'TALC', 'MAGNESIUM STEARATE', 'FILM-COAT', 'HYDROXYPROPYL METHYLCELLULOSE', 'TALC', 'YELLOW IRON OXIDE', 'ETHYL CELLULOSE', 'TITANIUM DIOXIDE (E171)', 'TRIACETIN', 'SODIUM LAURIL SULFATE']","[174, 1800, 154, 1368, 1665, 2442, 941, 834, 2726, 122, 941, 426, 1913, 20, 159, 1531]","[nan, 'CALCIUM HYDROGEN PHOSPHATE', 'MICROCRYSTALLINE CELLULOSE', 'POVIDONE', 'SODIUM STARCH GLYCOLATE', 'LACTOSE MONOHYDRATE', 'TALC', 'MAGNESIUM STEARATE', nan, 'HYPROMELLOSE', 'TALC', 'IRON OXIDE', 'ETHYLCELLULOSE', 'TITANIUM DIOXIDE', 'GLYCEROL TRIACETATE', 'SODIUM LAURIL SULFATE']"
877,"['TABLET CORE', 'CALCIUM HYDROGEN PHOSPHATE', 'MICROCRYSTALLINE CELLULOSE', 'POVIDONE K30', 'SODIUM STARCH GLYCOLATE', 'LACTOSE MONOHYDRATE', 'TALC', 'MAGNESIUM STEARATE', 'FILM-COAT', 'HYDROXYPROPYL METHYLCELLULOSE', 'TALC', 'YELLOW IRON OXIDE', 'ETHYL CELLULOSE', 'TITANIUM DIOXIDE (E171)', 'TRIACETIN', 'SODIUM LAURIL SULFATE']","[174, 1800, 154, 1368, 1665, 2442, 941, 834, 2726, 122, 941, 426, 1913, 20, 159, 1531]","[nan, 'CALCIUM HYDROGEN PHOSPHATE', 'MICROCRYSTALLINE CELLULOSE', 'POVIDONE', 'SODIUM STARCH GLYCOLATE', 'LACTOSE MONOHYDRATE', 'TALC', 'MAGNESIUM STEARATE', nan, 'HYPROMELLOSE', 'TALC', 'IRON OXIDE', 'ETHYLCELLULOSE', 'TITANIUM DIOXIDE', 'GLYCEROL TRIACETATE', 'SODIUM LAURIL SULFATE']"
1452,"['TABLET CORE', 'LACTOSE MONOHYDRATE', 'MICROCRYSTALLINE CELLULOSE (101)', 'CROSPOVIDONE (TYPE A)', 'POVIDONE (K30)', 'SODIUM LAURILSULFATE', 'MAGNESIUM STEARATE', 'TABLET COATING', 'POLYVINYL ALCOHOL (E1203)', 'MACROGOL 4000 (E1521)', 'TALC (E553B)', 'TITANIUM DIOXIDE (E171)', 'RED IRON OXIDE (E172)', 'YELLOW IRON OXIDE (E172)']","[174, 2442, 88, 1246, 2445, 2505, 834, 890, 1627, 1545, 982, 20, 1288, 2221]","[nan, 'LACTOSE MONOHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'CROSPOVIDONE', 'POVIDONE', 'SODIUM LAURIL SULFATE', 'MAGNESIUM STEARATE', nan, 'POLYVINYL ALCOHOL', 'POLYETHYLENE GLYCOL', 'TALC', 'TITANIUM DIOXIDE', 'IRON OXIDE', 'IRON OXIDE']"
50,"['TABLET CORE:', 'LACTOSE MONOHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'PREGELATINISED STARCH', 'SILICON DIOXIDE', 'MAGNESIUM STEARATE', 'RED AND YELLOW FERRIC OXIDES', 'FILM-COATING:', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'MACROGOL 3350', 'RED AND BLACK FERRIC OXIDES', 'CARNAUBA WAX']","[2446, 2442, 154, 399, 1464, 300, 834, 2709, 2557, 2442, 1308, 656, 2650, 1688, 1307]","[nan, 'LACTOSE MONOHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'PREGELATINISED STARCH', 'SILICON DIOXIDE, ANHYDROUS', 'MAGNESIUM STEARATE', 'IRON OXIDE', nan, 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE', 'CARNAUBA WAX']"
55,"['TABLET CORE:', 'LACTOSE MONOHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'PREGELATINISED STARCH', 'SILICON DIOXIDE', 'MAGNESIUM STEARATE', 'RED AND YELLOW FERRIC OXIDES', 'FILM-COATING:', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'MACROGOL 3350', 'RED AND BLACK FERRIC OXIDES', 'CARNAUBA WAX']","[2446, 2442, 154, 399, 1464, 300, 834, 2709, 2557, 2442, 1308, 656, 2650, 1688, 1307]","[nan, 'LACTOSE MONOHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'PREGELATINISED STARCH', 'SILICON DIOXIDE, ANHYDROUS', 'MAGNESIUM STEARATE', 'IRON OXIDE', nan, 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE', 'CARNAUBA WAX']"
93,"['TABLET CORE', 'SILICON DIOXIDE (E551)', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE', 'MICROCRYSTALLINE CELLULOSE (E460)', 'FILM-COATING', 'SUNSET YELLOW FCF ALUMINIUM LAKE (E110)', 'MACROGOL 3350 (E1521)', 'POLYVINYL ALCOHOL (PARTIALLY HYDROLYSED) (E1203)', 'TALC (E553B)', 'TITANIUM DIOXIDE (E171)', 'IRON OXIDE YELLOW (E172)']","[174, 1930, 399, 834, 967, 2402, 1659, 1066, 210, 982, 20, 1125]","[nan, 'SILICON DIOXIDE, ANHYDROUS', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE', 'MICROCRYSTALLINE CELLULOSE', nan, 'SUNSET YELLOW', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCHOL PART. HYDROLISED', 'TALC', 'TITANIUM DIOXIDE', 'IRON OXIDE']"
577,"['CAPSULE CONTENT', 'CROSCARMELLOSE SODIUM', 'CELLULOSE', 'MICROCRYSTALLINE', 'SILICA', 'COLLOIDAL ANHYDROUS', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'CAPSULE SHELL', 'GELATIN', 'TITANIUM DIOXIDE (E171)', 'RED IRON OXIDE (E172)', 'PRINTING INK', 'SHELLAC GLAZE (20% ESTERIFIED)', 'PROPYLENE GLYCOL', 'TITANIUM DIOXIDE (E171)']","[2422, 399, 1346, 2346, 987, 1828, 2442, 834, 574, 2474, 20, 1288, 2153, 1382, 1218, 20]","[nan, 'CROSCARMELLOSE SODIUM', 'MICROCRYSTALLINE CELLULOSE', 'SILICON DIOXIDE, ANHYDROUS', 'SILICON DIOXIDE, ANHYDROUS', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', nan, 'GELATIN', 'TITANIUM DIOXIDE', 'IRON OXIDE', 'PRINTING INK', 'SHELLAC', 'PROPYLENE GLYCOL', 'TITANIUM DIOXIDE']"
578,"['CAPSULE CONTENT', 'CROSCARMELLOSE SODIUM', 'CELLULOSE', 'MICROCRYSTALLINE', 'SILICA', 'COLLOIDAL ANHYDROUS', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'CAPSULE SHELL', 'GELATIN', 'TITANIUM DIOXIDE (E171)', 'RED IRON OXIDE (E172)', 'PRINTING INK', 'SHELLAC GLAZE (20% ESTERIFIED)', 'PROPYLENE GLYCOL', 'TITANIUM DIOXIDE (E171)']","[2422, 399, 1346, 2346, 987, 1828, 2442, 834, 574, 2474, 20, 1288, 2153, 1382, 1218, 20]","[nan, 'CROSCARMELLOSE SODIUM', 'MICROCRYSTALLINE CELLULOSE', 'SILICON DIOXIDE, ANHYDROUS', 'SILICON DIOXIDE, ANHYDROUS', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', nan, 'GELATIN', 'TITANIUM DIOXIDE', 'IRON OXIDE', 'PRINTING INK', 'SHELLAC', 'PROPYLENE GLYCOL', 'TITANIUM DIOXIDE']"
726,"['TABLET CORE:', 'LACTOSE MONOHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'PREGELATINIZED STARCH', 'SILICON DIOXIDE', 'MAGNESIUM STEARATE', 'RED AND YELLOW FERRIC OXIDES', 'FILM-COATING:', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'MACROGOL 3350', 'RED AND BLACK FERRIC OXIDES', 'CARNAUBA WAX']","[2446, 2442, 154, 399, 1747, 300, 834, 2709, 2557, 2442, 1308, 656, 2650, 1688, 1307]","[nan, 'LACTOSE MONOHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'PREGELATINISED STARCH', 'SILICON DIOXIDE, ANHYDROUS', 'MAGNESIUM STEARATE', 'IRON OXIDE', nan, 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE', 'CARNAUBA WAX']"
939,"['TABLET CORE', 'LACTOSE MONOHYDRATE', 'MAIZE STARCH', 'MICROCRYSTALLINE CELLULOSE', 'SODIUM STARCH GLYCOLATE', 'COLLOIDAL ANHYDROUS SILICA', 'HYDROXYPROPYLCELLULOSE', 'MAGNESIUM STEARATE', 'TABLET COATING', 'HYPROMELLOSE (E464)', 'TITANIUM DIOXIDE (E171)', 'TALC (E553B)', 'MACROGOL (E1521)', 'INDIGO CARMINE ALUMINUM LAKE (E132)']","[174, 2442, 315, 154, 1665, 2515, 1474, 834, 890, 795, 20, 982, 2730, 576]","[nan, 'LACTOSE MONOHYDRATE', 'MAIZE STARCH', 'MICROCRYSTALLINE CELLULOSE', 'SODIUM STARCH GLYCOLATE', 'SILICON DIOXIDE, ANHYDROUS', 'HYDROXYPROPYLCELLULOSE', 'MAGNESIUM STEARATE', nan, 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'TALC', 'POLYETHYLENE GLYCOL', 'INDIGO CARMINE']"
958,"['TABLET CORE', 'COPOVIDONE', 'LACTOSE MONOHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'COLLOIDAL ANHYDROUS SILICA', 'MAGNESIUM STEARATE', 'FILM-COATING', 'POLYVINYL ALCOHOL PARTIALLY HYDROLYZED', 'TITANIUM DIOXIDE', 'MACROGOL', 'TALC', 'SUNSET YELLOW FCF (E110) (HARVONI 90 MG/400 MG FILM-COATED TABLET ONLY)']","[174, 631, 2442, 154, 399, 2515, 834, 2402, 192, 656, 761, 941, 904]","[nan, 'COPOVIDONE', 'LACTOSE MONOHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'SILICON DIOXIDE, ANHYDROUS', 'MAGNESIUM STEARATE', nan, 'POLYVINYL ALCHOL PART. HYDROLISED', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'TALC', 'SUNSET YELLOW']"
1140,"['TABLET CORE:', 'LACTOSE MONOHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'PREGELATINISED STARCH', 'SILICON DIOXIDE', 'MAGNESIUM STEARATE', 'RED AND YELLOW FERRIC OXIDES', 'FILM-COATING:', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'MACROGOL 3350', 'RED AND BLACK FERRIC OXIDES', 'CARNAUBA WAX']","[2446, 2442, 154, 399, 1464, 300, 834, 2709, 2557, 2442, 1308, 656, 2650, 1688, 1307]","[nan, 'LACTOSE MONOHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'PREGELATINISED STARCH', 'SILICON DIOXIDE, ANHYDROUS', 'MAGNESIUM STEARATE', 'IRON OXIDE', nan, 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE', 'CARNAUBA WAX']"
561,"['TABLET CORE:', 'TALC (E553B)', 'ANHYDROUS LACTOSE', 'CROSCARMELLOSE SODIUM (E468)', 'HYPROMELLOSE (E464)', 'MICROCRYSTALLINE CELLULOSE (E460)', 'MAGNESIUM STEARATE (E572)', 'TABLET COATING:', 'HYPROMELLOSE (E464)', 'TITANIUM DIOXIDE (E171)', 'LACTOSE MONOHYDRATE', 'MACROGOL', 'YELLOW IRON OXIDE (E172) AND RED IRON OXIDE (E172).']","[2446, 982, 2124, 792, 795, 967, 205, 77, 795, 20, 2442, 761, 465]","[nan, 'TALC', 'LACTOSE', 'CROSCARMELLOSE SODIUM', 'HYPROMELLOSE', 'MICROCRYSTALLINE CELLULOSE', 'MAGNESIUM STEARATE', nan, 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'LACTOSE MONOHYDRATE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE']"
562,"['TABLET CORE:', 'TALC (E553B)', 'ANHYDROUS LACTOSE', 'CROSCARMELLOSE SODIUM (E468)', 'HYPROMELLOSE (E464)', 'MICROCRYSTALLINE CELLULOSE (E460)', 'MAGNESIUM STEARATE (E572)', 'TABLET COATING:', 'HYPROMELLOSE (E464)', 'TITANIUM DIOXIDE (E171)', 'LACTOSE MONOHYDRATE', 'MACROGOL', 'YELLOW IRON OXIDE (E172) AND RED IRON OXIDE (E172).']","[2446, 982, 2124, 792, 795, 967, 205, 77, 795, 20, 2442, 761, 465]","[nan, 'TALC', 'LACTOSE', 'CROSCARMELLOSE SODIUM', 'HYPROMELLOSE', 'MICROCRYSTALLINE CELLULOSE', 'MAGNESIUM STEARATE', nan, 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'LACTOSE MONOHYDRATE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE']"
1081,"['CITRIC ACID', 'ANHYDROUS (E 330)', 'HYPROMELLOSE (2910)', 'MANNITOL (E 421)', 'MICROCRYSTALLINE CELLULOSE AND CARMELLOSE SODIUM', 'SODIUM BENZOATE (E 211)', 'SUCRALOSE (E 955)', 'XANTHAN GUM (E 415)', 'FLAVOUR SWEET AND CREAMY: FLAVOURING SUBSTANCES', 'MALTODEXTRIN (MAIZE)', 'PROPYLENE GLYCOL (E 1520)', 'AND ACACIA GUM (E 414).']","[2498, 1450, 271, 778, 1439, 2392, 1589, 846, 1062, 2333, 2541, 2348]","['CITRIC ACID', nan, 'HYPROMELLOSE', 'MANNITOL', 'MICROCRYSTALLINE CELLULOSE', 'CARMELLOSE SODIUM', 'SODIUM BENZOATE', 'SUCRALOSE', 'XANTHAN GUM', 'FLAVOUR', 'MALTODEXTRIN ', 'PROPYLENE GLYCOL', 'ACACIA']"
1417,"['TABLET CORE', 'CELLULOSE MICROCRYSTALLINE (E 460)', 'STARCH PREGELATINISED (E 1404)', 'LACTOSE', 'COLLOIDAL ANHYDROUS SILICA (E 551)', 'MAGNESIUM STEARATE (E 470B)', 'COATING', '19', 'POLYSORBATE 80 (E 433)', 'POLYVINYL ALCOHOL (E 1203)', 'TITANIUM DIOXIDE (E 171)', 'TALC (E 553B)', 'SOYA LECITHIN (E 322)', 'XANTHAN GUM (E 415)']","[174, 2157, 1891, 1522, 2636, 1776, 2256, 47, 2056, 2339, 1417, 328, 425, 846]","[nan, 'MICROCRYSTALLINE CELLULOSE', 'PREGELATINISED STARCH', 'LACTOSE', 'SILICON DIOXIDE, ANHYDROUS', 'MAGNESIUM STEARATE', nan, nan, 'POLYSORBATE', 'POLYVINYL ALCOHOL', 'TITANIUM DIOXIDE', 'TALC', 'LECITHIN', 'XANTHAN GUM']"
1481,"['TABLET CORE:', 'POVIDONE (K-25)', 'SODIUM LAURILSULFATE', 'POLOXAMER 188', 'ANHYDROUS LACTOSE', 'MICROCRYSTALLINE CELLULOSE (PH 101)', 'CROSCARMELLOSE SODIUM', 'COLLOIDAL ANHYDROUS SILICA', 'MAGNESIUM STEARATE', 'FILM-COATING:', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE (2910/15 MPA·S) (E464)', 'TITANIUM DIOXIDE (E171)', 'TRIACETIN']","[2446, 1457, 2505, 1964, 2124, 2411, 399, 2515, 834, 2557, 2442, 858, 20, 159]","[nan, 'POVIDONE', 'SODIUM LAURIL SULFATE', 'POLOXAMER', 'LACTOSE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'SILICON DIOXIDE, ANHYDROUS', 'MAGNESIUM STEARATE', nan, 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'GLYCEROL TRIACETATE']"
615,"['TABLET CORE', 'LACTOSE MONOHYDRATE', 'MAIZE STARCH', 'HYDROXYPROPYL CELLULOSE', 'MAGNESIUM STEARATE', 'TABLET COAT', 'OPADRY BLUE CONTAINING:', 'HYPROMELLOSE (E464)', 'TITANIUM DIOXIDE (E171)', 'POLYETHYLENE GLYCOL 6000', 'INDIGO CARMINE ALUMINIUM LAKE (E132)', 'BRILLIANT BLUE FCF ALUMINIUM LAKE (E133)', 'IRON OXIDE BLACK (E172)']","[174, 2442, 315, 1216, 834, 1167, 1895, 795, 20, 1696, 1786, 2054, 2196]","[nan, 'LACTOSE MONOHYDRATE', 'MAIZE STARCH', 'HYDROXYPROPYLCELLULOSE', 'MAGNESIUM STEARATE', nan, 'OPADRY', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'INDIGO CARMINE', 'BRILLIANT BLUE', 'IRON OXIDE']"
1042,"['TABLET CORE', '- MICROCRYSTALLINE CELLULOSE', '- HYPROMELLOSE 2910', '- MAGNESIUM STEARATE', '- CROSCARMELLOSE SODIUM', 'FILM-COATING', '-  LACTOSE MONOHYDRATE', '-  HYPROMELLOSE 2910', '-  TITANIUM DIOXIDE', '-  TRIACETIN', '-  IRON OXIDE YELLOW', '-  BLACK IRON OXIDE', 'THE TABLET MAY ALSO CONTAIN TRACE AMOUNT OF CARNAUBA WAX.']","[174, None, 25, None, None, 2402, None, 1175, None, None, None, None, 2423]","['MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'GLYCEROL TRIACETATE', 'IRON OXIDE']"
316,"['TABLET CORE', 'LACTOSE MONOHYDRATE', '16', 'MICROCRYSTALLINE CELLULOSE', 'SODIUM STARCH GLYCOLATE', 'MAGNESIUM STEARATE', 'FILM COATING', 'OPADRY II BLUE 85F30716 CONTAINING:', 'POLYVINYL ALCOHOL – PARTIALLY HYDROLYSED (E1203)', 'TALC (E553B)', 'TITANIUM DIOXIDE (E171)', 'MACROGOL (E1521)', 'INDIGO CARMINE ALUMINIUM LAKE (E132)']","[174, 2442, 2626, 154, 1665, 834, 2100, 683, 664, 982, 20, 2730, 1786]","[nan, 'LACTOSE MONOHYDRATE', nan, 'MICROCRYSTALLINE CELLULOSE', 'SODIUM STARCH GLYCOLATE', 'MAGNESIUM STEARATE', nan, 'OPADRY', 'POLYVINYL ALCHOL PART. HYDROLISED', 'TALC', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'INDIGO CARMINE']"
1159,"['PURIFIED WATER', 'SUCROSE', 'HYDROXYPROPYLBETADEX 0.69', 'GLYCEROL (E 422)', 'SORBITOL (E 420)', 'SODIUM CITRATE (E 331)', 'SODIUM DIHYDROGEN PHOSPHATE DIHYDRATE (E 339)', 'CITRIC ACID (E 330)', 'PROPYLENE GLYCOL (E 1520)', 'POTASSIUM SORBATE (E 202)', 'METHYL PARAHYDROXYBENZOATE (E 218)', 'CITRUS FRUIT FLAVOUR', 'NATURAL FLAVOUR']","[1045, 105, 213, 2622, 435, 750, 2290, 106, 2541, 1647, 1713, 2459, 75]","['WATER', 'SUCROSE', 'HYDROXYPROPYLBETADEX', 'GLYCEROL', 'SORBITOL', 'SODIUM CITRATE', 'SODIUM DIHYDROGEN PHOSPHATE DIHYDRATE', 'CITRIC ACID', 'PROPYLENE GLYCOL', 'POTASSIUM SORBATE', 'METHYLPARAHYDROXYBENZOATE', 'FLAVOUR', nan]"
140,"['TABLET CORE', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE (E 470 B)', 'MAIZE STARCH', 'MALTODEXTRIN', 'SILICA', 'COLLOIDAL ANHYDROUS (E 551)', 'FILM-COATING', 'HYPROMELLOSE (E 464)', 'TITANIUM DIOXIDE (E171)', 'MACROGOL (6000)', 'GLYCEROL (E 422)', 'MAGNESIUM STEARATE (E 470 B)', 'YELLOW IRON OXIDE (E 172)', 'RED IRON OXIDE (E 172)']","[174, 2442, 2190, 315, 824, 987, 564, 2402, 2037, 20, 2276, 2622, 2190, 1956, 2562]","[nan, 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'MAIZE STARCH', 'MALTODEXTRIN', 'SILICON DIOXIDE, ANHYDROUS', 'SILICON DIOXIDE, ANHYDROUS', nan, 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'GLYCEROL', 'MAGNESIUM STEARATE', 'IRON OXIDE', 'IRON OXIDE']"
141,"['TABLET CORE', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE (E 470 B)', 'MAIZE STARCH', 'MALTODEXTRIN', 'SILICA', 'COLLOIDAL ANHYDROUS (E 551)', 'FILM-COATING', 'HYPROMELLOSE (E 464)', 'TITANIUM DIOXIDE (E171)', 'MACROGOL (6000)', 'GLYCEROL (E 422)', 'MAGNESIUM STEARATE (E 470 B)', 'YELLOW IRON OXIDE (E 172)', 'RED IRON OXIDE (E 172)']","[174, 2442, 2190, 315, 824, 987, 564, 2402, 2037, 20, 2276, 2622, 2190, 1956, 2562]","[nan, 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'MAIZE STARCH', 'MALTODEXTRIN', 'SILICON DIOXIDE, ANHYDROUS', 'SILICON DIOXIDE, ANHYDROUS', nan, 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'GLYCEROL', 'MAGNESIUM STEARATE', 'IRON OXIDE', 'IRON OXIDE']"
447,"['TABLET CORE', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE (E 470 B)', 'MAIZE STARCH', 'MALTODEXTRIN', 'SILICA', 'COLLOIDAL ANHYDROUS (E 551)', 'FILM-COATING', 'HYPROMELLOSE (E 464)', 'TITANIUM DIOXIDE (E171)', 'MACROGOL (6000)', 'GLYCEROL (E 422)', 'MAGNESIUM STEARATE (E 470 B)', 'YELLOW IRON OXIDE (E 172)', 'RED IRON OXIDE (E 172)']","[174, 2442, 2190, 315, 824, 987, 564, 2402, 2037, 20, 2276, 2622, 2190, 1956, 2562]","[nan, 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'MAIZE STARCH', 'MALTODEXTRIN', 'SILICON DIOXIDE, ANHYDROUS', 'SILICON DIOXIDE, ANHYDROUS', nan, 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'GLYCEROL', 'MAGNESIUM STEARATE', 'IRON OXIDE', 'IRON OXIDE']"
776,"['TABLET CORE:', 'CALCIUM HYDROGEN PHOSPHATE DIHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'MAIZE STARCH', 'TALC', 'TABLET COATING:', 'FILM COAT (CONTAINING LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'MACROGOL 400', 'INDIGOTIN (E132))', 'CLEAR COAT (CONTAINING HYPROMELLOSE', 'MACROGOL 400)', 'CARNAUBA WAX', '7', 'WHITE WAX']","[2446, 19, 154, 315, 941, 77, 651, 1308, 656, 1335, 1914, 2434, 431, 1307, 1363, 504]","[nan, 'CALCIUM HYDROGEN PHOSPHATE DIHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'MAIZE STARCH', 'TALC', nan, nan, 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'INDIGO CARMINE', 'HYPROMELLOSE', 'POLYETHYLENE GLYCOL', 'CARNAUBA WAX', nan, 'WHITE WAX']"
